College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,Academic_Efficiency,Salary
CLG0030,107.0,6.61,6.28,8,0,8,8,4,0,73.5,0.0
CLG0061,97.0,5.52,5.37,8,0,7,8,0,0,63.400000000000006,0.0
CLG0036,109.0,5.36,5.83,9,0,3,1,1,0,69.2,0.0
CLG0055,122.0,5.47,5.75,6,1,1,6,1,0,69.7,0.0
CLG0004,96.0,7.91,7.69,7,0,8,10,2,0,86.5,0.0
CLG0015,96.0,5.26,5.32,7,0,5,8,0,0,62.800000000000004,0.0
CLG0071,123.0,6.68,6.58,5,0,7,8,2,1,78.1,324700.0
CLG0096,111.0,8.77,8.76,7,0,3,1,2,1,98.69999999999999,405900.0
CLG0097,92.0,6.47,6.33,9,0,7,8,5,0,72.5,0.0
CLG0057,108.0,8.82,8.6,4,0,5,9,1,0,96.8,0.0
CLG0063,93.0,8.73,8.9,2,1,5,6,0,0,98.3,0.0
CLG0077,93.0,6.23,6.51,8,0,5,7,4,0,74.39999999999999,0.0
CLG0064,103.0,8.64,9.01,7,1,8,6,1,0,100.39999999999999,0.0
CLG0017,71.0,8.74,8.4,6,0,0,5,2,0,91.1,0.0
CLG0053,74.0,6.99,7.31,7,0,0,1,2,0,80.5,0.0
CLG0040,91.0,6.05,5.8,3,0,4,2,3,0,67.1,0.0
CLG0070,84.0,7.61,7.54,6,0,0,10,0,0,83.80000000000001,0.0
CLG0050,104.0,9.61,10.01,10,1,9,2,4,0,110.5,0.0
CLG0068,86.0,8.2,8.15,7,0,8,9,4,1,90.1,369000.0
CLG0015,78.0,5.86,5.56,7,1,3,6,2,0,63.39999999999999,0.0
CLG0072,121.0,8.41,8.07,5,1,1,3,3,1,92.8,483300.0
CLG0034,96.0,7.14,7.11,3,1,2,3,3,0,80.7,0.0
CLG0030,101.0,7.96,8.22,2,1,8,10,0,0,92.3,0.0
CLG0087,78.0,8.67,9.17,7,1,10,10,2,1,99.5,505800.0
CLG0073,91.0,7.57,7.86,4,1,7,2,2,0,87.7,0.0
CLG0024,101.0,9.07,9.45,2,0,2,7,2,0,104.6,0.0
CLG0008,82.0,8.61,8.86,8,0,7,1,0,0,96.8,0.0
CLG0057,105.0,8.08,8.48,2,0,3,1,4,0,95.30000000000001,0.0
CLG0070,90.0,5.75,5.33,6,1,5,10,1,0,62.3,0.0
CLG0025,95.0,9.18,9.61,4,1,3,3,3,0,105.6,0.0
CLG0077,90.0,9.68,9.58,9,1,10,1,4,0,104.8,0.0
CLG0034,127.0,5.68,6.1,5,0,4,3,1,0,73.7,0.0
CLG0025,99.0,7.44,7.02,4,0,9,9,4,0,80.1,0.0
CLG0018,84.0,6.29,6.51,8,0,8,7,4,0,73.5,0.0
